Date,HomeTeam,AwayTeam,FTHG,FTAG,GD,HST,AST,B365H,B365D,B365A,FTR
13/08/2021,M'gladbach,Bayern Munich,1,1,0,5,10,4.33,4.5,1.66,D
14/08/2021,Augsburg,Hoffenheim,0,4,-4,0,8,3.2,3.75,2.1,A
14/08/2021,Bielefeld,Freiburg,0,0,0,4,6,2.8,3.4,2.5,D
14/08/2021,Stuttgart,Greuther Furth,5,1,4,15,4,1.83,4.0,4.0,H
14/08/2021,Union Berlin,Leverkusen,1,1,0,5,4,2.75,3.4,2.55,D
14/08/2021,Wolfsburg,Bochum,1,0,1,9,1,1.53,4.5,5.75,H
14/08/2021,Dortmund,Ein Frankfurt,5,2,3,7,3,1.4,5.5,6.5,H
15/08/2021,Mainz,RB Leipzig,1,0,1,2,2,8.0,5.5,1.33,H
15/08/2021,FC Koln,Hertha,3,1,2,5,5,2.55,3.4,2.75,H
20/08/2021,RB Leipzig,Stuttgart,4,0,4,11,5,1.36,5.25,7.0,H
21/08/2021,Bochum,Mainz,2,0,2,5,3,2.62,3.5,2.62,H
21/08/2021,Ein Frankfurt,Augsburg,0,0,0,5,0,1.57,4.5,5.25,D
21/08/2021,Freiburg,Dortmund,2,1,1,4,2,5.5,4.75,1.5,H
21/08/2021,Greuther Furth,Bielefeld,1,1,0,5,2,2.55,3.4,2.7,D
21/08/2021,Hertha,Wolfsburg,1,2,-1,4,3,3.0,3.4,2.37,A
21/08/2021,Leverkusen,M'gladbach,4,0,4,6,6,2.2,3.75,3.0,H
22/08/2021,Hoffenheim,Union Berlin,2,2,0,3,8,2.0,3.6,3.6,D
22/08/2021,Bayern Munich,FC Koln,3,2,1,6,3,1.11,11.0,16.0,H
27/08/2021,Dortmund,Hoffenheim,3,2,1,13,5,1.4,5.5,6.5,H
28/08/2021,Augsburg,Leverkusen,1,4,-3,4,5,4.75,3.8,1.72,A
28/08/2021,Bielefeld,Ein Frankfurt,1,1,0,5,3,3.3,3.6,2.1,D
28/08/2021,FC Koln,Bochum,2,1,1,5,1,1.83,3.75,4.2,H
28/08/2021,Mainz,Greuther Furth,3,0,3,9,1,1.66,4.0,5.0,H
28/08/2021,Stuttgart,Freiburg,2,3,-1,7,7,2.15,3.6,3.2,A
28/08/2021,Bayern Munich,Hertha,5,0,5,6,3,1.14,9.0,15.0,H
29/08/2021,Union Berlin,M'gladbach,2,1,1,4,5,2.45,3.25,2.9,H
29/08/2021,Wolfsburg,RB Leipzig,1,0,1,2,2,3.6,3.5,2.05,H
11/09/2021,Freiburg,FC Koln,1,1,0,3,5,2.2,3.6,3.1,D
11/09/2021,Greuther Furth,Wolfsburg,0,2,-2,3,4,5.5,4.33,1.57,A
11/09/2021,Hoffenheim,Mainz,0,2,-2,0,4,2.0,3.75,3.5,A
11/09/2021,Leverkusen,Dortmund,3,4,-1,5,7,3.1,3.8,2.15,A
11/09/2021,Union Berlin,Augsburg,0,0,0,6,6,1.7,3.75,5.0,D
11/09/2021,RB Leipzig,Bayern Munich,1,4,-3,4,6,3.0,3.8,2.2,A
12/09/2021,Ein Frankfurt,Stuttgart,1,1,0,5,3,2.0,3.75,3.5,D
12/09/2021,Bochum,Hertha,1,3,-2,5,4,2.8,3.4,2.5,A
12/09/2021,M'gladbach,Bielefeld,3,1,2,4,7,1.44,4.75,7.0,H
17/09/2021,Hertha,Greuther Furth,2,1,1,3,3,1.75,3.75,4.2,H
18/09/2021,Augsburg,M'gladbach,1,0,1,1,1,4.2,4.0,1.8,H
18/09/2021,Bayern Munich,Bochum,7,0,7,15,1,1.06,13.0,29.0,H
18/09/2021,Bielefeld,Hoffenheim,0,0,0,2,3,3.5,3.6,2.05,D
18/09/2021,Mainz,Freiburg,0,0,0,3,2,2.0,3.6,3.6,D
18/09/2021,FC Koln,RB Leipzig,1,1,0,6,9,4.5,4.0,1.72,D
19/09/2021,Stuttgart,Leverkusen,1,3,-2,8,4,3.3,3.75,2.1,A
19/09/2021,Dortmund,Union Berlin,4,2,2,4,6,1.36,5.25,8.0,H
19/09/2021,Wolfsburg,Ein Frankfurt,1,1,0,6,2,1.8,3.8,4.33,D
24/09/2021,Greuther Furth,Bayern Munich,1,3,-2,6,4,23.0,13.0,1.07,A
25/09/2021,Ein Frankfurt,FC Koln,1,1,0,3,2,2.0,3.75,3.5,D
25/09/2021,Hoffenheim,Wolfsburg,3,1,2,3,2,2.75,3.5,2.5,H
25/09/2021,Leverkusen,Mainz,1,0,1,9,5,1.72,4.0,4.5,H
25/09/2021,RB Leipzig,Hertha,6,0,6,11,3,1.3,5.5,10.0,H
25/09/2021,Union Berlin,Bielefeld,1,0,1,4,2,1.66,3.8,5.5,H
25/09/2021,M'gladbach,Dortmund,1,0,1,3,0,4.33,4.2,1.72,H
26/09/2021,Bochum,Stuttgart,0,0,0,4,3,3.0,3.5,2.3,D
26/09/2021,Freiburg,Augsburg,3,0,3,9,2,1.85,3.6,4.33,H
18/09/2020,Bayern Munich,Schalke 04,8,0,8,12,1,1.1,11.0,21.0,H
19/09/2020,Ein Frankfurt,Bielefeld,1,1,0,6,4,1.61,4.2,5.25,D
19/09/2020,FC Koln,Hoffenheim,2,3,-1,6,7,2.6,3.5,2.6,A
19/09/2020,Stuttgart,Freiburg,2,3,-1,7,6,2.25,3.5,3.1,A
19/09/2020,Union Berlin,Augsburg,1,3,-2,3,5,2.3,3.3,3.2,A
19/09/2020,Werder Bremen,Hertha,1,4,-3,7,6,2.6,3.5,2.62,A
19/09/2020,Dortmund,M'gladbach,3,0,3,4,2,1.6,4.33,5.0,H
20/09/2020,RB Leipzig,Mainz,3,1,2,10,1,1.33,5.75,8.0,H
20/09/2020,Wolfsburg,Leverkusen,0,0,0,1,2,2.87,3.5,2.37,D
25/09/2020,Hertha,Ein Frankfurt,1,3,-2,6,3,2.25,3.75,2.9,A
26/09/2020,Augsburg,Dortmund,2,0,2,4,7,7.0,4.75,1.44,H
26/09/2020,Bielefeld,FC Koln,1,0,1,3,2,2.62,3.5,2.6,H
26/09/2020,Leverkusen,RB Leipzig,1,1,0,4,2,3.0,3.5,2.3,D
26/09/2020,Mainz,Stuttgart,1,4,-3,3,7,2.37,3.5,2.9,A
26/09/2020,M'gladbach,Union Berlin,1,1,0,5,2,1.44,4.5,7.5,D
26/09/2020,Schalke 04,Werder Bremen,1,3,-2,4,8,2.5,3.4,2.8,A
27/09/2020,Hoffenheim,Bayern Munich,4,1,3,8,2,11.0,7.5,1.2,H
27/09/2020,Freiburg,Wolfsburg,1,1,0,7,2,3.2,3.3,2.3,D
02/10/2020,Union Berlin,Mainz,4,0,4,7,0,2.05,3.6,3.4,H
03/10/2020,Dortmund,Freiburg,4,0,4,7,2,1.28,6.0,9.0,H
03/10/2020,Ein Frankfurt,Hoffenheim,2,1,1,6,4,2.37,3.7,2.8,H
03/10/2020,FC Koln,M'gladbach,1,3,-2,3,11,3.8,4.0,1.85,A
03/10/2020,Stuttgart,Leverkusen,1,1,0,2,7,3.8,3.8,1.85,D
03/10/2020,Werder Bremen,Bielefeld,1,0,1,2,5,2.15,3.5,3.3,H
03/10/2020,RB Leipzig,Schalke 04,4,0,4,7,1,1.25,6.5,10.0,H
04/10/2020,Wolfsburg,Augsburg,0,0,0,6,1,2.0,3.6,3.7,D
04/10/2020,Bayern Munich,Hertha,4,3,1,9,5,1.16,8.0,15.0,H
17/10/2020,Augsburg,RB Leipzig,0,2,-2,2,6,5.75,4.5,1.53,A
17/10/2020,Freiburg,Werder Bremen,1,1,0,4,4,2.25,3.5,3.1,D
17/10/2020,Hertha,Stuttgart,0,2,-2,4,2,2.05,3.8,3.3,A
17/10/2020,Hoffenheim,Dortmund,0,1,-1,3,5,4.0,4.33,1.75,A
17/10/2020,Mainz,Leverkusen,0,1,-1,0,4,5.5,4.33,1.57,A
17/10/2020,Bielefeld,Bayern Munich,1,4,-3,5,10,13.0,8.5,1.16,A
17/10/2020,M'gladbach,Wolfsburg,1,1,0,2,5,1.85,3.8,4.0,D
18/10/2020,FC Koln,Ein Frankfurt,1,1,0,5,4,3.2,3.8,2.1,D
18/10/2020,Schalke 04,Union Berlin,1,1,0,4,7,2.75,3.25,2.6,D
23/10/2020,Stuttgart,FC Koln,1,1,0,4,4,1.85,3.8,3.8,D
24/10/2020,Bayern Munich,Ein Frankfurt,5,0,5,10,2,1.16,7.5,9.0,H
24/10/2020,Mainz,M'gladbach,2,3,-1,7,12,4.75,4.33,1.61,A
24/10/2020,RB Leipzig,Hertha,2,1,1,8,3,1.4,4.5,7.0,H
24/10/2020,Union Berlin,Freiburg,1,1,0,7,4,2.3,3.3,3.1,D
24/10/2020,Dortmund,Schalke 04,3,0,3,7,0,1.16,6.5,12.0,H
25/10/2020,Wolfsburg,Bielefeld,2,1,1,4,1,1.65,3.75,5.25,H
25/10/2020,Werder Bremen,Hoffenheim,1,1,0,2,6,3.0,3.75,2.2,D
26/10/2020,Leverkusen,Augsburg,3,1,2,7,3,1.6,4.2,5.25,H
30/10/2020,Schalke 04,Stuttgart,1,1,0,2,5,3.1,3.6,2.15,D
31/10/2020,Augsburg,Mainz,3,1,2,7,4,2.0,3.75,3.5,H
31/10/2020,Bielefeld,Dortmund,0,2,-2,2,10,7.5,5.0,1.4,A
31/10/2020,Ein Frankfurt,Werder Bremen,1,1,0,5,4,1.72,4.0,4.5,D
31/10/2020,FC Koln,Bayern Munich,1,2,-1,2,5,12.0,8.0,1.18,A
31/10/2020,M'gladbach,RB Leipzig,1,0,1,4,3,3.0,3.6,2.25,H
01/11/2020,Freiburg,Leverkusen,2,4,-2,5,7,3.8,3.5,1.95,A
01/11/2020,Hertha,Wolfsburg,1,1,0,5,4,2.62,3.5,2.55,D
02/11/2020,Hoffenheim,Union Berlin,1,3,-2,5,6,1.85,4.0,3.8,A
06/11/2020,Werder Bremen,FC Koln,1,1,0,4,1,2.37,3.6,2.87,D
07/11/2020,Augsburg,Hertha,0,3,-3,2,6,2.9,3.5,2.3,A
07/11/2020,Mainz,Schalke 04,2,2,0,7,3,2.1,3.4,3.4,D
07/11/2020,RB Leipzig,Freiburg,3,0,3,7,3,1.36,4.75,9.0,H
07/11/2020,Stuttgart,Ein Frankfurt,2,2,0,5,8,2.55,3.6,2.5,D
07/11/2020,Union Berlin,Bielefeld,5,0,5,8,1,1.83,3.75,4.2,H
07/11/2020,Dortmund,Bayern Munich,2,3,-1,5,8,4.0,4.33,1.75,A
08/11/2020,Wolfsburg,Hoffenheim,2,1,1,8,5,2.1,3.6,3.25,H
08/11/2020,Leverkusen,M'gladbach,4,3,1,5,6,2.2,3.5,3.0,H
21/11/2020,Bayern Munich,Werder Bremen,1,1,0,3,4,1.1,10.0,23.0,D
21/11/2020,Bielefeld,Leverkusen,1,2,-1,1,4,5.75,4.6,1.5,A
21/11/2020,Hoffenheim,Stuttgart,3,3,0,8,9,2.3,3.75,2.8,D
21/11/2020,M'gladbach,Augsburg,1,1,0,6,5,1.5,4.5,6.0,D
21/11/2020,Schalke 04,Wolfsburg,0,2,-2,6,8,3.8,3.6,1.95,A
21/11/2020,Ein Frankfurt,RB Leipzig,1,1,0,3,3,3.8,4.0,1.85,D
21/11/2020,Hertha,Dortmund,2,5,-3,3,8,4.5,4.33,1.65,A
22/11/2020,Freiburg,Mainz,1,3,-2,6,8,2.05,3.6,3.4,A
22/11/2020,FC Koln,Union Berlin,1,2,-1,4,3,2.7,3.4,2.6,A
27/11/2020,Wolfsburg,Werder Bremen,5,3,2,6,4,1.8,3.6,4.33,H
28/11/2020,Augsburg,Freiburg,1,1,0,2,5,2.37,3.5,2.9,D
28/11/2020,Dortmund,FC Koln,1,2,-1,4,5,1.2,7.0,13.0,A
28/11/2020,RB Leipzig,Bielefeld,2,1,1,7,3,1.2,7.0,13.0,H
28/11/2020,Stuttgart,Bayern Munich,1,3,-2,4,6,9.0,6.25,1.28,A
28/11/2020,Union Berlin,Ein Frankfurt,3,3,0,7,5,2.5,3.4,2.7,D
28/11/2020,M'gladbach,Schalke 04,4,1,3,9,2,1.33,5.25,9.0,H
29/11/2020,Leverkusen,Hertha,0,0,0,2,3,1.72,4.0,4.5,D
29/11/2020,Mainz,Hoffenheim,1,1,0,4,5,3.25,3.8,2.05,D
04/12/2020,Hertha,Union Berlin,3,1,2,7,1,2.5,3.5,2.75,H
