Date,HomeTeam,AwayTeam,FTHG,FTAG,GD,HST,AST,B365H,B365D,B365A,FTR
06/08/2021,Monaco,Nantes,1.0,1.0,0.0,3.0,1.0,1.44,4.33,7.0,D
07/08/2021,Lyon,Brest,1.0,1.0,0.0,4.0,8.0,1.33,5.0,8.5,D
07/08/2021,Troyes,Paris SG,1.0,2.0,-1.0,7.0,3.0,11.0,6.0,1.25,A
08/08/2021,Rennes,Lens,1.0,1.0,0.0,2.0,6.0,2.0,3.4,3.75,D
08/08/2021,Bordeaux,Clermont,0.0,2.0,-2.0,6.0,10.0,2.0,3.4,3.75,A
08/08/2021,Nice,Reims,0.0,0.0,0.0,2.0,0.0,1.85,3.5,4.2,D
08/08/2021,St Etienne,Lorient,1.0,1.0,0.0,3.0,3.0,2.25,3.25,3.2,D
08/08/2021,Strasbourg,Angers,0.0,2.0,-2.0,1.0,2.0,2.0,3.2,4.0,A
08/08/2021,Metz,Lille,3.0,3.0,0.0,5.0,7.0,5.25,3.4,1.72,D
08/08/2021,Montpellier,Marseille,2.0,3.0,-1.0,1.0,7.0,3.2,3.4,2.2,A
13/08/2021,Lorient,Monaco,1.0,0.0,1.0,2.0,3.0,4.0,3.75,1.85,H
14/08/2021,Lille,Nice,0.0,4.0,-4.0,2.0,7.0,1.8,3.5,4.75,A
14/08/2021,Paris SG,Strasbourg,4.0,2.0,2.0,6.0,2.0,1.2,7.0,13.0,H
15/08/2021,Angers,Lyon,3.0,0.0,3.0,6.0,3.0,4.5,3.8,1.75,H
15/08/2021,Brest,Rennes,1.0,1.0,0.0,5.0,2.0,3.1,3.4,2.3,D
15/08/2021,Clermont,Troyes,2.0,0.0,2.0,8.0,1.0,2.0,3.4,3.8,H
15/08/2021,Nantes,Metz,2.0,0.0,2.0,7.0,5.0,2.3,3.2,3.25,H
15/08/2021,Reims,Montpellier,3.0,3.0,0.0,9.0,5.0,2.6,3.3,2.75,D
15/08/2021,Lens,St Etienne,2.0,2.0,0.0,7.0,7.0,2.0,3.5,3.75,D
15/08/2021,Marseille,Bordeaux,2.0,2.0,0.0,2.0,2.0,1.53,4.2,6.0,D
20/08/2021,Brest,Paris SG,2.0,4.0,-2.0,3.0,8.0,9.5,5.75,1.25,A
21/08/2021,Monaco,Lens,0.0,2.0,-2.0,2.0,2.0,1.7,3.75,4.75,A
21/08/2021,St Etienne,Lille,1.0,1.0,0.0,2.0,6.0,3.1,3.2,2.4,D
22/08/2021,Lyon,Clermont,3.0,3.0,0.0,9.0,5.0,1.55,4.5,5.25,D
22/08/2021,Bordeaux,Angers,1.0,1.0,0.0,5.0,3.0,2.87,3.2,2.62,D
22/08/2021,Metz,Reims,1.0,1.0,0.0,4.0,3.0,2.25,3.2,3.4,D
22/08/2021,Montpellier,Lorient,3.0,1.0,2.0,11.0,4.0,2.1,3.4,3.5,H
22/08/2021,Strasbourg,Troyes,1.0,1.0,0.0,4.0,6.0,2.0,3.4,3.75,D
22/08/2021,Rennes,Nantes,1.0,0.0,1.0,5.0,1.0,1.85,3.6,4.2,H
27/08/2021,Nantes,Lyon,0.0,1.0,-1.0,5.0,5.0,4.5,4.0,1.66,A
28/08/2021,Nice,Bordeaux,4.0,0.0,4.0,5.0,4.0,1.6,4.2,5.25,H
28/08/2021,Marseille,St Etienne,3.0,1.0,2.0,5.0,7.0,1.7,3.8,4.75,H
29/08/2021,Troyes,Monaco,1.0,2.0,-1.0,3.0,4.0,4.33,3.6,1.83,A
29/08/2021,Angers,Rennes,2.0,0.0,2.0,4.0,2.0,2.9,3.25,2.5,H
29/08/2021,Clermont,Metz,2.0,2.0,0.0,4.0,4.0,1.72,3.75,4.75,D
29/08/2021,Lens,Lorient,2.0,2.0,0.0,9.0,7.0,1.75,3.6,5.0,D
29/08/2021,Strasbourg,Brest,3.0,1.0,2.0,5.0,5.0,2.0,3.3,4.0,H
29/08/2021,Lille,Montpellier,2.0,1.0,1.0,4.0,3.0,1.66,4.0,5.0,H
29/08/2021,Reims,Paris SG,0.0,2.0,-2.0,4.0,3.0,17.0,8.0,1.14,A
10/09/2021,Lorient,Lille,2.0,1.0,1.0,7.0,3.0,3.4,3.4,2.15,H
