Date,HomeTeam,AwayTeam,FTHG,FTAG,GD,HST,AST,B365H,B365D,B365A,FTR
21/08/2021,Inter,Genoa,4.0,0.0,4.0,8.0,5.0,1.33,5.25,9.0,H
21/08/2021,Verona,Sassuolo,2.0,3.0,-1.0,4.0,8.0,2.62,3.3,2.62,A
21/08/2021,Empoli,Lazio,1.0,3.0,-2.0,5.0,5.0,4.6,4.0,1.7,A
21/08/2021,Torino,Atalanta,1.0,2.0,-1.0,8.0,2.0,5.5,4.33,1.55,A
22/08/2021,Bologna,Salernitana,3.0,2.0,1.0,7.0,4.0,1.65,4.0,5.0,H
22/08/2021,Udinese,Juventus,2.0,2.0,0.0,6.0,4.0,7.5,4.33,1.45,D
22/08/2021,Napoli,Venezia,2.0,0.0,2.0,4.0,4.0,1.22,6.5,12.0,H
22/08/2021,Roma,Fiorentina,3.0,1.0,2.0,6.0,8.0,1.72,3.8,4.75,H
23/08/2021,Cagliari,Spezia,2.0,2.0,0.0,10.0,6.0,1.95,3.4,4.0,D
23/08/2021,Sampdoria,Milan,0.0,1.0,-1.0,3.0,4.0,4.0,3.6,1.9,A
27/08/2021,Udinese,Venezia,3.0,0.0,3.0,10.0,3.0,1.7,3.75,5.0,H
27/08/2021,Verona,Inter,1.0,3.0,-2.0,1.0,8.0,5.5,4.33,1.55,A
28/08/2021,Atalanta,Bologna,0.0,0.0,0.0,3.0,1.0,1.33,5.5,8.0,D
28/08/2021,Lazio,Spezia,6.0,1.0,5.0,10.0,2.0,1.33,4.75,9.5,H
28/08/2021,Fiorentina,Torino,2.0,1.0,1.0,7.0,1.0,2.2,3.4,3.25,H
28/08/2021,Juventus,Empoli,0.0,1.0,-1.0,6.0,3.0,1.22,6.5,12.0,A
29/08/2021,Genoa,Napoli,1.0,2.0,-1.0,3.0,8.0,6.0,4.5,1.5,A
29/08/2021,Sassuolo,Sampdoria,0.0,0.0,0.0,6.0,3.0,2.0,3.6,3.6,D
29/08/2021,Milan,Cagliari,4.0,1.0,3.0,5.0,2.0,1.44,4.5,7.0,H
29/08/2021,Salernitana,Roma,0.0,4.0,-4.0,0.0,10.0,5.5,4.33,1.55,A
11/09/2021,Empoli,Venezia,1.0,2.0,-1.0,6.0,3.0,1.8,3.8,4.2,A
11/09/2021,Napoli,Juventus,2.0,1.0,1.0,7.0,4.0,2.4,3.6,2.8,H
11/09/2021,Atalanta,Fiorentina,1.0,2.0,-1.0,5.0,2.0,1.55,4.33,5.5,A
12/09/2021,Sampdoria,Inter,2.0,2.0,0.0,3.0,3.0,5.0,4.0,1.61,D
12/09/2021,Cagliari,Genoa,2.0,3.0,-1.0,3.0,3.0,2.0,3.5,3.75,A
12/09/2021,Spezia,Udinese,0.0,1.0,-1.0,5.0,4.0,3.2,3.4,2.3,A
12/09/2021,Torino,Salernitana,4.0,0.0,4.0,7.0,2.0,1.57,4.2,5.75,H
12/09/2021,Milan,Lazio,2.0,0.0,2.0,3.0,5.0,2.2,3.6,3.1,H
12/09/2021,Roma,Sassuolo,2.0,1.0,1.0,9.0,7.0,1.57,4.75,5.0,H
13/09/2021,Bologna,Verona,1.0,0.0,1.0,4.0,1.0,2.1,3.7,3.2,H
17/09/2021,Sassuolo,Torino,0.0,1.0,-1.0,1.0,6.0,1.72,4.0,4.33,A
