Date,HomeTeam,AwayTeam,FTHG,FTAG,GD,HST,AST,B365H,B365D,B365A,FTR
13/08/2021,Valencia,Getafe,1,0,1,2,4,2.55,3.0,3.1,H
14/08/2021,Cadiz,Levante,1,1,0,2,3,2.8,3.25,2.6,D
14/08/2021,Mallorca,Betis,1,1,0,2,1,3.3,3.4,2.2,D
14/08/2021,Alaves,Real Madrid,1,4,-3,4,7,7.0,4.75,1.44,A
14/08/2021,Osasuna,Espanol,0,0,0,1,3,2.25,3.2,3.4,D
15/08/2021,Celta,Ath Madrid,1,2,-1,2,4,4.2,3.4,1.9,A
15/08/2021,Barcelona,Sociedad,4,2,2,8,3,1.72,4.0,4.5,H
15/08/2021,Sevilla,Vallecano,3,0,3,8,3,1.44,4.2,8.0,H
16/08/2021,Villarreal,Granada,0,0,0,4,1,1.53,4.2,6.5,D
16/08/2021,Elche,Ath Bilbao,0,0,0,2,3,3.8,3.3,2.05,D
20/08/2021,Betis,Cadiz,1,1,0,7,3,1.5,4.2,7.0,D
21/08/2021,Alaves,Mallorca,0,1,-1,4,2,2.25,3.2,3.4,A
21/08/2021,Espanol,Villarreal,0,0,0,3,2,3.1,3.4,2.3,D
21/08/2021,Granada,Valencia,1,1,0,2,7,2.45,3.4,2.87,D
21/08/2021,Ath Bilbao,Barcelona,1,1,0,7,3,4.0,3.75,1.85,D
22/08/2021,Sociedad,Vallecano,1,0,1,8,1,1.44,4.33,7.5,H
22/08/2021,Ath Madrid,Elche,1,0,1,4,2,1.22,5.75,17.0,H
22/08/2021,Levante,Real Madrid,3,3,0,4,5,5.0,4.33,1.6,D
23/08/2021,Getafe,Sevilla,0,1,-1,0,3,3.5,3.2,2.2,A
23/08/2021,Osasuna,Celta,0,0,0,7,0,2.62,3.25,2.75,D
27/08/2021,Mallorca,Espanol,1,0,1,6,3,2.6,2.9,3.1,H
27/08/2021,Valencia,Alaves,3,0,3,4,3,1.75,3.6,4.75,H
28/08/2021,Celta,Ath Bilbao,0,1,-1,0,2,2.4,3.2,3.1,A
28/08/2021,Elche,Sevilla,1,1,0,4,5,5.0,3.6,1.72,D
28/08/2021,Sociedad,Levante,1,0,1,2,0,1.53,4.2,6.0,H
28/08/2021,Betis,Real Madrid,0,1,-1,6,3,4.2,3.8,1.8,A
29/08/2021,Barcelona,Getafe,2,1,1,3,3,1.4,4.75,7.5,H
29/08/2021,Cadiz,Osasuna,2,3,-1,3,4,3.2,3.0,2.45,A
29/08/2021,Vallecano,Granada,4,0,4,6,3,2.55,3.2,2.87,H
29/08/2021,Ath Madrid,Villarreal,2,2,0,5,2,1.75,3.4,5.25,D
11/09/2021,Levante,Vallecano,1,1,0,2,6,2.1,3.4,3.5,D
11/09/2021,Ath Bilbao,Mallorca,2,0,2,5,1,1.72,3.6,5.25,H
12/09/2021,Espanol,Ath Madrid,1,2,-1,3,3,4.33,3.3,1.9,A
12/09/2021,Osasuna,Valencia,1,4,-3,2,4,2.4,3.2,3.1,A
12/09/2021,Cadiz,Sociedad,0,2,-2,1,4,5.0,3.6,1.75,A
12/09/2021,Real Madrid,Celta,5,2,3,11,4,1.36,5.25,8.0,H
13/09/2021,Getafe,Elche,0,1,-1,1,3,1.8,3.4,4.75,A
13/09/2021,Granada,Betis,1,2,-1,2,9,3.1,3.25,2.37,A
17/09/2021,Celta,Cadiz,1,2,-1,4,3,1.45,4.33,7.0,A
18/09/2021,Vallecano,Getafe,3,0,3,5,3,2.37,2.9,3.4,H
18/09/2021,Ath Madrid,Ath Bilbao,0,0,0,2,0,1.65,3.6,6.0,D
18/09/2021,Elche,Levante,1,1,0,2,6,2.4,3.1,3.2,D
